nohup: ignoring input
/root/.openclaw/workspace/polymarket_engine/radar_engine.py:339: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  f"{datetime.utcnow().isoformat()} | "
2026-03-11T15:53:29.377270 | deploy=0 watch=3
2026-03-11T15:54:29.378162 | deploy=0 watch=3
2026-03-11T15:55:29.379034 | deploy=0 watch=3
2026-03-11T15:56:29.379964 | deploy=0 watch=3
2026-03-11T15:57:29.380997 | deploy=0 watch=3
2026-03-11T15:58:29.381912 | deploy=0 watch=3
2026-03-11T15:59:29.382797 | deploy=0 watch=3
2026-03-11T16:00:29.383885 | deploy=0 watch=3
2026-03-11T16:01:29.384966 | deploy=0 watch=3
2026-03-11T16:02:29.386030 | deploy=0 watch=3
2026-03-11T16:03:29.386993 | deploy=0 watch=3
2026-03-11T16:04:29.388167 | deploy=0 watch=3
2026-03-11T16:05:29.389055 | deploy=0 watch=3
2026-03-11T16:06:29.390265 | deploy=0 watch=3
2026-03-11T16:07:29.391622 | deploy=0 watch=3
2026-03-11T16:08:29.392551 | deploy=0 watch=3
2026-03-11T16:09:29.393578 | deploy=0 watch=3
2026-03-11T16:10:29.394641 | deploy=0 watch=3
2026-03-11T16:11:29.395872 | deploy=0 watch=3
2026-03-11T16:12:29.396816 | deploy=0 watch=3
2026-03-11T16:13:29.397843 | deploy=0 watch=3
2026-03-11T16:14:29.398784 | deploy=0 watch=3
2026-03-11T16:15:29.399938 | deploy=0 watch=3
2026-03-11T16:16:29.400864 | deploy=0 watch=3
2026-03-11T16:17:29.401728 | deploy=0 watch=3
2026-03-11T16:18:29.402810 | deploy=0 watch=3
2026-03-11T16:19:29.404011 | deploy=0 watch=3
2026-03-11T16:20:29.404956 | deploy=0 watch=3
2026-03-11T16:21:29.406213 | deploy=0 watch=3
2026-03-11T16:22:29.407319 | deploy=0 watch=3
2026-03-11T16:23:29.408334 | deploy=0 watch=3
2026-03-11T16:24:29.409275 | deploy=0 watch=3
2026-03-11T16:25:29.411022 | deploy=0 watch=3
2026-03-11T16:26:29.412116 | deploy=0 watch=3
2026-03-11T16:27:29.413185 | deploy=0 watch=3
2026-03-11T16:28:29.414334 | deploy=0 watch=3
2026-03-11T16:29:29.415523 | deploy=0 watch=3
2026-03-11T16:30:29.416716 | deploy=0 watch=3
2026-03-11T16:31:29.417607 | deploy=0 watch=3
2026-03-11T16:32:29.418716 | deploy=0 watch=3
2026-03-11T16:33:29.419974 | deploy=0 watch=3
2026-03-11T16:34:29.421098 | deploy=0 watch=3
2026-03-11T16:35:29.421960 | deploy=0 watch=3
2026-03-11T16:36:29.423035 | deploy=0 watch=3
2026-03-11T16:37:29.424126 | deploy=0 watch=3
2026-03-11T16:38:29.425137 | deploy=0 watch=3
2026-03-11T16:39:29.426008 | deploy=0 watch=3
2026-03-11T16:40:29.427057 | deploy=0 watch=3
2026-03-11T16:41:29.427994 | deploy=0 watch=3
2026-03-11T16:42:29.429139 | deploy=0 watch=3
2026-03-11T16:43:29.430287 | deploy=0 watch=3
2026-03-11T16:44:29.431398 | deploy=0 watch=3
2026-03-11T16:45:29.432499 | deploy=0 watch=3
2026-03-11T16:46:29.433512 | deploy=0 watch=3
2026-03-11T16:47:29.434799 | deploy=0 watch=3
2026-03-11T16:48:29.435976 | deploy=0 watch=3
2026-03-11T16:49:29.437036 | deploy=0 watch=3
2026-03-11T16:50:29.438146 | deploy=0 watch=3
2026-03-11T16:51:29.439033 | deploy=0 watch=3
2026-03-11T16:52:29.440223 | deploy=0 watch=3
2026-03-11T16:53:29.441469 | deploy=0 watch=3
2026-03-11T16:54:29.442624 | deploy=0 watch=3
2026-03-11T16:55:29.443778 | deploy=0 watch=3
2026-03-11T16:56:29.444669 | deploy=0 watch=3
2026-03-11T16:57:29.445723 | deploy=0 watch=3
2026-03-11T16:58:29.446669 | deploy=0 watch=3
2026-03-11T16:59:29.447537 | deploy=0 watch=3
2026-03-11T17:00:29.448625 | deploy=0 watch=3
2026-03-11T17:01:29.449508 | deploy=0 watch=3
2026-03-11T17:02:29.450515 | deploy=0 watch=3
2026-03-11T17:03:29.451714 | deploy=0 watch=3
2026-03-11T17:04:29.452597 | deploy=0 watch=3
2026-03-11T17:05:29.453648 | deploy=0 watch=3
2026-03-11T17:06:29.454566 | deploy=0 watch=3
2026-03-11T17:07:29.455667 | deploy=0 watch=3
2026-03-11T17:08:29.456573 | deploy=0 watch=3
2026-03-11T17:09:29.457549 | deploy=0 watch=3
2026-03-11T17:10:29.458514 | deploy=0 watch=3
2026-03-11T17:11:29.459476 | deploy=0 watch=3
2026-03-11T17:12:29.460630 | deploy=0 watch=3
2026-03-11T17:13:29.461585 | deploy=0 watch=3
2026-03-11T17:14:29.462459 | deploy=0 watch=3
2026-03-11T17:15:29.463474 | deploy=0 watch=3
2026-03-11T17:16:29.464572 | deploy=0 watch=3
2026-03-11T17:17:29.465571 | deploy=0 watch=3
2026-03-11T17:18:29.466468 | deploy=0 watch=3
2026-03-11T17:19:29.467540 | deploy=0 watch=3
2026-03-11T17:20:29.469377 | deploy=0 watch=3
2026-03-11T17:21:29.470561 | deploy=0 watch=3
2026-03-11T17:22:29.471706 | deploy=0 watch=3
2026-03-11T17:23:29.472716 | deploy=0 watch=3
2026-03-11T17:24:29.473598 | deploy=0 watch=3
2026-03-11T17:25:29.474473 | deploy=0 watch=3
2026-03-11T17:26:29.475391 | deploy=0 watch=3
2026-03-11T17:27:29.476378 | deploy=0 watch=3
2026-03-11T17:28:29.477455 | deploy=0 watch=3
2026-03-11T17:29:29.478443 | deploy=0 watch=3
2026-03-11T17:30:29.479436 | deploy=0 watch=3
2026-03-11T17:31:29.480382 | deploy=0 watch=3
2026-03-11T17:32:29.481456 | deploy=0 watch=3
2026-03-11T17:33:29.483205 | deploy=0 watch=3
2026-03-11T17:34:29.484301 | deploy=0 watch=3
2026-03-11T17:35:29.485287 | deploy=0 watch=3
2026-03-11T17:36:29.486396 | deploy=0 watch=3
2026-03-11T17:37:29.487556 | deploy=0 watch=3
2026-03-11T17:38:29.488577 | deploy=0 watch=3
2026-03-11T17:39:29.489576 | deploy=0 watch=3
2026-03-11T17:40:29.490609 | deploy=0 watch=3
2026-03-11T17:41:29.491507 | deploy=0 watch=3
2026-03-11T17:42:29.492504 | deploy=0 watch=3
2026-03-11T17:43:29.493621 | deploy=0 watch=3
2026-03-11T17:44:29.494661 | deploy=0 watch=3
2026-03-11T17:45:29.495558 | deploy=0 watch=3
2026-03-11T17:46:29.496549 | deploy=0 watch=3
2026-03-11T17:47:29.497403 | deploy=0 watch=3
2026-03-11T17:48:29.498495 | deploy=0 watch=3
2026-03-11T17:49:29.499439 | deploy=0 watch=3
2026-03-11T17:50:29.500625 | deploy=0 watch=3
2026-03-11T17:51:29.501588 | deploy=0 watch=3
2026-03-11T17:52:29.502676 | deploy=0 watch=3
2026-03-11T17:53:29.503579 | deploy=0 watch=3
2026-03-11T17:54:29.504497 | deploy=0 watch=3
2026-03-11T17:55:29.505380 | deploy=0 watch=3
2026-03-11T17:56:29.506381 | deploy=0 watch=3
2026-03-11T17:57:29.507578 | deploy=0 watch=3
2026-03-11T17:58:29.509453 | deploy=0 watch=3
2026-03-11T17:59:29.510494 | deploy=0 watch=3
2026-03-11T18:00:29.511604 | deploy=0 watch=3
2026-03-11T18:01:29.512798 | deploy=0 watch=3
2026-03-11T18:02:29.513843 | deploy=0 watch=3
2026-03-11T18:03:29.514929 | deploy=0 watch=3
2026-03-11T18:04:29.516011 | deploy=0 watch=3
2026-03-11T18:05:29.516906 | deploy=0 watch=3
2026-03-11T18:06:29.518053 | deploy=0 watch=3
2026-03-11T18:07:29.519223 | deploy=0 watch=3
2026-03-11T18:08:29.520187 | deploy=0 watch=3
2026-03-11T18:09:29.521192 | deploy=0 watch=3
2026-03-11T18:10:29.522111 | deploy=0 watch=3
2026-03-11T18:11:29.523274 | deploy=0 watch=3
2026-03-11T18:12:29.524197 | deploy=0 watch=3
2026-03-11T18:13:29.525209 | deploy=0 watch=3
2026-03-11T18:14:29.526173 | deploy=0 watch=3
2026-03-11T18:15:29.526994 | deploy=0 watch=3
2026-03-11T18:16:29.527906 | deploy=0 watch=3
2026-03-11T18:17:29.529144 | deploy=0 watch=3
2026-03-11T18:18:29.530251 | deploy=0 watch=3
2026-03-11T18:19:29.531230 | deploy=0 watch=3
2026-03-11T18:20:29.532377 | deploy=0 watch=3
2026-03-11T18:21:29.533290 | deploy=0 watch=3
2026-03-11T18:22:29.534443 | deploy=0 watch=3
2026-03-11T18:23:29.535683 | deploy=0 watch=3
2026-03-11T18:24:29.536662 | deploy=0 watch=3
2026-03-11T18:25:29.537572 | deploy=0 watch=3
2026-03-11T18:26:29.538534 | deploy=0 watch=3
2026-03-11T18:27:29.539633 | deploy=0 watch=3
2026-03-11T18:28:29.540968 | deploy=0 watch=3
2026-03-11T18:29:29.542026 | deploy=0 watch=3
2026-03-11T18:30:29.542888 | deploy=0 watch=3
2026-03-11T18:31:29.543934 | deploy=0 watch=3
2026-03-11T18:32:29.544902 | deploy=0 watch=3
2026-03-11T18:33:29.545917 | deploy=0 watch=3
2026-03-11T18:34:29.547042 | deploy=0 watch=3
2026-03-11T18:35:29.548063 | deploy=0 watch=3
2026-03-11T18:36:29.549155 | deploy=0 watch=3
2026-03-11T18:37:29.550352 | deploy=0 watch=3
2026-03-11T18:38:29.551330 | deploy=0 watch=3
2026-03-11T18:39:29.552281 | deploy=0 watch=3
2026-03-11T18:40:29.553228 | deploy=0 watch=3
2026-03-11T18:41:29.554303 | deploy=0 watch=3
2026-03-11T18:42:29.555395 | deploy=0 watch=3
2026-03-11T18:43:29.556437 | deploy=0 watch=3
2026-03-11T18:44:29.557377 | deploy=0 watch=3
2026-03-11T18:45:29.558368 | deploy=0 watch=3
2026-03-11T18:46:29.559466 | deploy=0 watch=3
2026-03-11T18:47:29.574420 | deploy=0 watch=3
2026-03-11T18:48:29.575406 | deploy=0 watch=3
2026-03-11T18:49:29.576375 | deploy=0 watch=3
2026-03-11T18:50:29.577304 | deploy=0 watch=3
2026-03-11T18:51:29.578373 | deploy=0 watch=3
2026-03-11T18:52:29.579594 | deploy=0 watch=3
2026-03-11T18:53:29.580568 | deploy=0 watch=3
2026-03-11T18:54:29.581479 | deploy=0 watch=3
2026-03-11T18:55:29.582517 | deploy=0 watch=3
2026-03-11T18:56:29.583484 | deploy=0 watch=3
2026-03-11T18:57:29.584437 | deploy=0 watch=3
2026-03-11T18:58:29.585515 | deploy=0 watch=3
2026-03-11T18:59:29.586654 | deploy=0 watch=3
2026-03-11T19:00:29.587871 | deploy=0 watch=3
2026-03-11T19:01:29.588813 | deploy=0 watch=3
2026-03-11T19:02:29.589861 | deploy=0 watch=3
2026-03-11T19:03:29.590991 | deploy=0 watch=3
2026-03-11T19:04:29.592240 | deploy=0 watch=3
2026-03-11T19:05:29.593179 | deploy=0 watch=3
2026-03-11T19:06:29.594237 | deploy=0 watch=3
2026-03-11T19:07:29.595147 | deploy=0 watch=3
2026-03-11T19:08:29.596035 | deploy=0 watch=3
2026-03-11T19:09:29.596984 | deploy=0 watch=3
2026-03-11T19:10:29.598225 | deploy=0 watch=3
2026-03-11T19:11:29.599473 | deploy=0 watch=3
2026-03-11T19:12:29.600554 | deploy=0 watch=3
2026-03-11T19:13:29.601503 | deploy=0 watch=3
2026-03-11T19:14:29.602466 | deploy=0 watch=3
2026-03-11T19:15:29.603579 | deploy=0 watch=3
2026-03-11T19:16:29.604630 | deploy=0 watch=3
2026-03-11T19:17:29.605557 | deploy=0 watch=3
2026-03-11T19:18:29.606546 | deploy=0 watch=3
2026-03-11T19:19:29.607414 | deploy=0 watch=3
2026-03-11T19:20:29.608489 | deploy=0 watch=3
2026-03-11T19:21:29.609439 | deploy=0 watch=3
2026-03-11T19:22:29.610344 | deploy=0 watch=3
2026-03-11T19:23:29.611495 | deploy=0 watch=3
2026-03-11T19:24:29.612409 | deploy=0 watch=3
2026-03-11T19:25:29.613609 | deploy=0 watch=3
2026-03-11T19:26:29.614641 | deploy=0 watch=3
2026-03-11T19:27:29.615563 | deploy=0 watch=3
2026-03-11T19:28:29.616527 | deploy=0 watch=3
2026-03-11T19:29:29.617473 | deploy=0 watch=3
2026-03-11T19:30:29.618374 | deploy=0 watch=3
2026-03-11T19:31:29.619228 | deploy=0 watch=3
2026-03-11T19:32:29.620204 | deploy=0 watch=3
2026-03-11T19:33:29.621227 | deploy=0 watch=3
2026-03-11T19:34:29.622129 | deploy=0 watch=3
2026-03-11T19:35:29.623036 | deploy=0 watch=3
2026-03-11T19:36:29.624025 | deploy=0 watch=3
2026-03-11T19:37:29.624928 | deploy=0 watch=3
2026-03-11T19:38:29.625982 | deploy=0 watch=3
2026-03-11T19:39:29.627057 | deploy=0 watch=3
2026-03-11T19:40:29.627998 | deploy=0 watch=3
2026-03-11T19:41:29.628971 | deploy=0 watch=3
2026-03-11T19:42:29.629906 | deploy=0 watch=3
2026-03-11T19:43:29.630993 | deploy=0 watch=3
2026-03-11T19:44:29.631884 | deploy=0 watch=3
2026-03-11T19:45:29.632805 | deploy=0 watch=3
2026-03-11T19:46:29.633903 | deploy=0 watch=3
2026-03-11T19:47:29.635146 | deploy=0 watch=3
2026-03-11T19:48:29.636251 | deploy=0 watch=3
2026-03-11T19:49:29.637223 | deploy=0 watch=3
2026-03-11T19:50:29.638184 | deploy=0 watch=3
2026-03-11T19:51:29.639411 | deploy=0 watch=3
2026-03-11T19:52:29.640393 | deploy=0 watch=3
2026-03-11T19:53:29.641383 | deploy=0 watch=3
2026-03-11T19:54:29.642438 | deploy=0 watch=3
2026-03-11T19:55:29.643366 | deploy=0 watch=3
2026-03-11T19:56:29.644561 | deploy=0 watch=3
2026-03-11T19:57:29.645499 | deploy=0 watch=3
2026-03-11T19:58:29.646677 | deploy=0 watch=3
2026-03-11T19:59:29.647842 | deploy=0 watch=3
2026-03-11T20:00:29.649247 | deploy=0 watch=3
2026-03-11T20:01:29.650222 | deploy=0 watch=3
2026-03-11T20:02:29.651210 | deploy=0 watch=3
2026-03-11T20:03:29.652491 | deploy=0 watch=3
2026-03-11T20:04:29.653502 | deploy=0 watch=3
2026-03-11T20:05:29.654677 | deploy=0 watch=3
2026-03-11T20:06:29.655715 | deploy=0 watch=3
2026-03-11T20:07:29.656923 | deploy=0 watch=3
2026-03-11T20:08:29.657796 | deploy=0 watch=3
2026-03-11T20:09:29.658811 | deploy=0 watch=3
2026-03-11T20:10:29.659739 | deploy=0 watch=3
2026-03-11T20:11:29.660905 | deploy=0 watch=3
2026-03-11T20:12:29.661795 | deploy=0 watch=3
2026-03-11T20:13:29.662705 | deploy=0 watch=3
2026-03-11T20:14:29.663641 | deploy=0 watch=3
2026-03-11T20:15:29.664738 | deploy=0 watch=3
2026-03-11T20:16:29.665726 | deploy=0 watch=3
2026-03-11T20:17:29.667065 | deploy=0 watch=3
2026-03-11T20:18:29.668028 | deploy=0 watch=3
2026-03-11T20:19:29.669211 | deploy=0 watch=3
2026-03-11T20:20:29.670436 | deploy=0 watch=3
2026-03-11T20:21:29.671397 | deploy=0 watch=3
2026-03-11T20:22:29.672372 | deploy=0 watch=3
2026-03-11T20:23:29.673365 | deploy=0 watch=3
2026-03-11T20:24:29.674952 | deploy=0 watch=3
2026-03-11T20:25:29.676101 | deploy=0 watch=3
2026-03-11T20:26:29.677009 | deploy=0 watch=3
2026-03-11T20:27:29.677853 | deploy=0 watch=3
2026-03-11T20:28:29.678935 | deploy=0 watch=3
2026-03-11T20:29:29.680138 | deploy=0 watch=3
2026-03-11T20:30:29.681002 | deploy=0 watch=3
2026-03-11T20:31:29.681836 | deploy=0 watch=3
2026-03-11T20:32:29.682814 | deploy=0 watch=3
2026-03-11T20:33:29.683722 | deploy=0 watch=3
2026-03-11T20:34:29.684865 | deploy=0 watch=3
2026-03-11T20:35:29.685839 | deploy=0 watch=3
2026-03-11T20:36:29.686729 | deploy=0 watch=3
2026-03-11T20:37:29.687782 | deploy=0 watch=3
2026-03-11T20:38:29.688673 | deploy=0 watch=3
2026-03-11T20:39:29.689622 | deploy=0 watch=3
2026-03-11T20:40:29.690565 | deploy=0 watch=3
2026-03-11T20:41:29.691519 | deploy=0 watch=3
2026-03-11T20:42:29.692758 | deploy=0 watch=3
2026-03-11T20:43:29.693875 | deploy=0 watch=3
2026-03-11T20:44:29.694784 | deploy=0 watch=3
2026-03-11T20:45:29.695663 | deploy=0 watch=3
2026-03-11T20:46:29.696548 | deploy=0 watch=3
2026-03-11T20:47:29.697571 | deploy=0 watch=3
2026-03-11T20:48:29.698744 | deploy=0 watch=3
2026-03-11T20:49:29.699841 | deploy=0 watch=3
2026-03-11T20:50:29.700749 | deploy=0 watch=3
2026-03-11T20:51:29.701772 | deploy=0 watch=3
2026-03-11T20:52:29.702762 | deploy=0 watch=3
2026-03-11T20:53:29.703643 | deploy=0 watch=3
2026-03-11T20:54:29.704617 | deploy=0 watch=3
2026-03-11T20:55:29.705498 | deploy=0 watch=3
2026-03-11T20:56:29.706424 | deploy=0 watch=3
2026-03-11T20:57:29.707598 | deploy=0 watch=3
2026-03-11T20:58:29.708539 | deploy=0 watch=3
2026-03-11T20:59:29.710369 | deploy=0 watch=3
2026-03-11T21:00:29.711277 | deploy=0 watch=3
2026-03-11T21:01:29.712226 | deploy=0 watch=3
2026-03-11T21:02:29.713121 | deploy=0 watch=3
2026-03-11T21:03:29.714222 | deploy=0 watch=3
2026-03-11T21:04:29.715107 | deploy=0 watch=3
2026-03-11T21:05:29.716343 | deploy=0 watch=3
2026-03-11T21:06:29.717491 | deploy=0 watch=3
2026-03-11T21:07:29.718430 | deploy=0 watch=3
2026-03-11T21:08:29.719409 | deploy=0 watch=3
2026-03-11T21:09:29.720296 | deploy=0 watch=3
2026-03-11T21:10:29.721255 | deploy=0 watch=3
2026-03-11T21:11:29.722203 | deploy=0 watch=3
2026-03-11T21:12:29.723334 | deploy=0 watch=3
2026-03-11T21:13:29.724472 | deploy=0 watch=3
2026-03-11T21:14:29.725421 | deploy=0 watch=3
2026-03-11T21:15:29.727126 | deploy=0 watch=3
2026-03-11T21:16:29.728341 | deploy=0 watch=3
2026-03-11T21:17:29.729423 | deploy=0 watch=3
2026-03-11T21:18:29.730576 | deploy=0 watch=3
2026-03-11T21:19:29.731572 | deploy=0 watch=3
2026-03-11T21:20:29.732461 | deploy=0 watch=3
2026-03-11T21:21:29.733282 | deploy=0 watch=3
2026-03-11T21:22:29.734208 | deploy=0 watch=3
2026-03-11T21:23:29.735117 | deploy=0 watch=3
2026-03-11T21:24:29.736239 | deploy=0 watch=3
2026-03-11T21:25:29.737378 | deploy=0 watch=3
2026-03-11T21:26:29.738379 | deploy=0 watch=3
2026-03-11T21:27:29.739550 | deploy=0 watch=3
2026-03-11T21:28:29.740935 | deploy=0 watch=3
2026-03-11T21:29:29.741880 | deploy=0 watch=3
2026-03-11T21:30:29.742863 | deploy=0 watch=3
2026-03-11T21:31:29.743867 | deploy=0 watch=3
2026-03-11T21:32:29.744838 | deploy=0 watch=3
2026-03-11T21:33:29.745868 | deploy=0 watch=3
2026-03-11T21:34:29.746995 | deploy=0 watch=3
2026-03-11T21:35:29.748114 | deploy=0 watch=3
2026-03-11T21:36:29.749015 | deploy=0 watch=3
2026-03-11T21:37:29.749932 | deploy=0 watch=3
2026-03-11T21:38:29.751038 | deploy=0 watch=3
2026-03-11T21:39:29.751963 | deploy=0 watch=3
2026-03-11T21:40:29.753243 | deploy=0 watch=3
2026-03-11T21:41:29.754264 | deploy=0 watch=3
2026-03-11T21:42:29.755196 | deploy=0 watch=3
2026-03-11T21:43:29.756214 | deploy=0 watch=3
2026-03-11T21:44:29.757396 | deploy=0 watch=3
2026-03-11T21:45:29.758347 | deploy=0 watch=3
2026-03-11T21:46:29.759303 | deploy=0 watch=3
2026-03-11T21:47:29.760358 | deploy=0 watch=3
2026-03-11T21:48:29.761277 | deploy=0 watch=3
2026-03-11T21:49:29.762324 | deploy=0 watch=3
2026-03-11T21:50:29.763317 | deploy=0 watch=3
2026-03-11T21:51:29.764592 | deploy=0 watch=3
2026-03-11T21:52:29.765819 | deploy=0 watch=3
2026-03-11T21:53:29.766806 | deploy=0 watch=3
2026-03-11T21:54:29.767882 | deploy=0 watch=3
2026-03-11T21:55:29.768787 | deploy=0 watch=3
2026-03-11T21:56:29.769835 | deploy=0 watch=3
2026-03-11T21:57:29.770767 | deploy=0 watch=3
2026-03-11T21:58:29.771720 | deploy=0 watch=3
2026-03-11T21:59:29.772611 | deploy=0 watch=3
2026-03-11T22:00:29.773637 | deploy=0 watch=3
2026-03-11T22:01:29.774655 | deploy=0 watch=3
2026-03-11T22:02:29.775606 | deploy=0 watch=3
2026-03-11T22:03:29.776740 | deploy=0 watch=3
2026-03-11T22:04:29.777626 | deploy=0 watch=3
2026-03-11T22:05:29.778700 | deploy=0 watch=3
2026-03-11T22:06:29.779761 | deploy=0 watch=3
2026-03-11T22:07:29.780869 | deploy=0 watch=3
2026-03-11T22:08:29.781856 | deploy=0 watch=3
2026-03-11T22:09:29.782783 | deploy=0 watch=3
2026-03-11T22:10:29.783935 | deploy=0 watch=3
2026-03-11T22:11:29.784901 | deploy=0 watch=3
2026-03-11T22:12:29.785819 | deploy=0 watch=3
2026-03-11T22:13:29.786837 | deploy=0 watch=3
2026-03-11T22:14:29.787858 | deploy=0 watch=3
2026-03-11T22:15:29.788889 | deploy=0 watch=3
2026-03-11T22:16:29.789888 | deploy=0 watch=3
2026-03-11T22:17:29.790826 | deploy=0 watch=3
2026-03-11T22:18:29.791938 | deploy=0 watch=3
2026-03-11T22:19:29.793006 | deploy=0 watch=3
2026-03-11T22:20:29.794185 | deploy=0 watch=3
2026-03-11T22:21:29.794982 | deploy=0 watch=3
2026-03-11T22:22:29.796155 | deploy=0 watch=3
2026-03-11T22:23:29.797247 | deploy=0 watch=3
2026-03-11T22:24:29.798142 | deploy=0 watch=3
2026-03-11T22:25:29.799063 | deploy=0 watch=3
2026-03-11T22:26:29.799997 | deploy=0 watch=3
2026-03-11T22:27:29.800892 | deploy=0 watch=3
2026-03-11T22:28:29.802036 | deploy=0 watch=3
2026-03-11T22:29:29.802889 | deploy=0 watch=3
2026-03-11T22:30:29.803946 | deploy=0 watch=3
2026-03-11T22:31:29.805000 | deploy=0 watch=3
2026-03-11T22:32:29.805920 | deploy=0 watch=3
2026-03-11T22:33:29.806791 | deploy=0 watch=3
2026-03-11T22:34:29.807697 | deploy=0 watch=3
2026-03-11T22:35:29.808624 | deploy=0 watch=3
2026-03-11T22:36:29.809801 | deploy=0 watch=3
2026-03-11T22:37:29.811282 | deploy=0 watch=3
2026-03-11T22:38:29.812295 | deploy=0 watch=3
2026-03-11T22:39:29.813275 | deploy=0 watch=3
2026-03-11T22:40:29.814332 | deploy=0 watch=3
2026-03-11T22:41:29.815436 | deploy=0 watch=3
2026-03-11T22:42:29.816291 | deploy=0 watch=3
2026-03-11T22:43:29.817163 | deploy=0 watch=3
2026-03-11T22:44:29.818121 | deploy=0 watch=3
2026-03-11T22:45:29.818959 | deploy=0 watch=3
2026-03-11T22:46:29.819961 | deploy=0 watch=3
2026-03-11T22:47:29.820902 | deploy=0 watch=3
2026-03-11T22:48:29.822033 | deploy=0 watch=3
2026-03-11T22:49:29.823071 | deploy=0 watch=3
2026-03-11T22:50:29.824294 | deploy=0 watch=3
2026-03-11T22:51:29.825333 | deploy=0 watch=3
2026-03-11T22:52:29.826334 | deploy=0 watch=3
2026-03-11T22:53:29.827287 | deploy=0 watch=3
2026-03-11T22:54:29.828381 | deploy=0 watch=3
2026-03-11T22:55:29.829468 | deploy=0 watch=3
2026-03-11T22:56:29.830535 | deploy=0 watch=3
2026-03-11T22:57:29.831494 | deploy=0 watch=3
2026-03-11T22:58:29.832355 | deploy=0 watch=3
2026-03-11T22:59:29.833216 | deploy=0 watch=3
2026-03-11T23:00:29.834778 | deploy=0 watch=3
2026-03-11T23:01:29.835849 | deploy=0 watch=3
2026-03-11T23:02:29.836733 | deploy=0 watch=3
2026-03-11T23:03:29.837727 | deploy=0 watch=3
2026-03-11T23:04:29.838697 | deploy=0 watch=3
2026-03-11T23:05:29.839910 | deploy=0 watch=3
2026-03-11T23:06:29.840847 | deploy=0 watch=3
2026-03-11T23:07:29.841903 | deploy=0 watch=3
2026-03-11T23:08:29.842860 | deploy=0 watch=3
2026-03-11T23:09:29.843845 | deploy=0 watch=3
2026-03-11T23:10:29.844882 | deploy=0 watch=3
2026-03-11T23:11:29.845833 | deploy=0 watch=3
2026-03-11T23:12:29.846663 | deploy=0 watch=3
2026-03-11T23:13:29.847593 | deploy=0 watch=3
2026-03-11T23:14:29.848655 | deploy=0 watch=3
2026-03-11T23:15:29.849751 | deploy=0 watch=3
2026-03-11T23:16:29.850680 | deploy=0 watch=3
2026-03-11T23:17:29.851817 | deploy=0 watch=3
